,Brand,Cooling_Capacity,Star_Rating,Annual_power_usage,Room_Size,Warranty,Price,Ratings,no_of_rating,Reviews
388,Lloyd,1 Ton,5 Star,520.93,90,,"40,990",3.5,121,15
389,Godrej,1.5 Ton,5 Star,765.86,111 - 150,1,"36,190",2.6,,
390,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
391,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
392,Godrej,1.5 Ton,3 Star,1123.23,111 - 150,1,"31,999",3.7,24,
393,Daikin,2.02 Ton,3 Star,1372.85,,,"63,920",3.6,29,
394,Lloyd,1.5 Ton,5 Star,758.96,111 - 150,1,"44,500",4.1,"11,020","1,437"
395,Haier,1.6 Ton,5 Star,880.3,151 - 200,1,"43,490",3.4,,
396,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
397,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
398,Voltas,1.5 Ton,3 Star,604.19,111 - 150,1,"51,990",,,
399,White,1 Ton,3 Star,756.82,90,,"32,190",,,
400,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
401,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
402,Blue,1.5 Ton,5 Star,1082.57,111 - 150,1,"37,999",3.9,112,13
403,Hitachi,1.5 Ton,3 Star,1024.34,111 - 150,1,"38,799",3.8,30,
404,,1.5 Ton,3 Star,991.28,111 - 150,2,"36,999",1.7,,
405,Frigidaire,1 Ton,3 Star,692.38,90,,"28,999",,,
406,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
407,Panasonic,1 Ton,5 Star,524.08,90,,"38,990",4.1,"24,837","2,508"
408,Haier,1.5 Ton,5 Star,880.3,111 - 150,1,"44,999",4.1,40,
409,Hitachi,1.5 Ton,5 Star,758.52,111 - 150,1,"43,829",3,,
410,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
411,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
412,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"51,399",3.5,15,
413,Hitachi,1.5 Ton,3 Star,,111 - 150,,"41,800",3.7,,
414,Lloyd,1.4 Ton,3 Star,,400,1,"36,680",,,
415,Lloyd,1 Ton,5 Star,587.66,90,,"36,999",4.7,,
416,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
417,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
418,Blue,2 Ton,3 Star,1239.63,151 - 200,1,"55,000",,,
419,IFB,1.5 Ton,3 Star,991.28,111 - 150,1,"37,490",3.8,66,
420,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
421,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
422,Acer,1 Ton,5 Star,523.76,90,,"33,990",,,
423,Daikin,1.5 Ton,3 Star,966.47,111 - 150,1,"37,990",3.5,11,
424,Hitachi,1.8 Ton,4 Star,1084.82,151 - 200,1,"59,899",,,
425,Panasonic,2 Ton,3 Star,1215.89,151 - 200,1,"52,890",,,
426,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
427,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
428,Acer,1.5 Ton,5 Star,690.86,111 - 150,1,"36,990",,,
429,Lloyd,1.5 Ton,5 Star,714.5,111 - 150,1,"39,990",4,,
430,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
431,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
432,Blue,1.5 Ton,3 Star,1087.62,111 - 150,1,"39,890",,,
433,Voltas,1.5 Ton,3 Star,1045.71,111 - 150,1,"43,490",,,
434,Godrej,1.5 Ton,3 Star,1128.49,111 - 150,1,"37,300",4.4,39,
435,Voltas,1.5 Ton,5 Star,893.02,111 - 150,1,"43,800",3.7,30,
436,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
437,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
438,Blue,1.5 Ton,3 Star,,1456,1,"41,500",3.5,,
439,Blue,1.5 Ton,3 Star,1006.84,111 - 150,1,"40,600",,,
440,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
441,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
442,Blue,1.5 Ton,3 Star,1037.96,111 - 150,1,"41,500",,,
443,Lloyd,1.5 Ton,3 Star,1002.76,111 - 150,1,"34,490",4.2,60,
444,Blue,1.5 Ton,5 Star,,1456,1,"47,600",3.9,55,
445,IFB,1.5 Ton,3 Star,991.28,111 - 150,1,"37,490",3.8,66,
446,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
447,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
448,Blue,1 Ton,3 Star,706.99,90,,"33,390",4,"5,266",456
449,Voltas,1.5 Ton,3 Star,1037.79,111 - 150,1,"37,370",,,
450,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
451,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
452,Lloyd,1.5 Ton,5 Star,1095.38,111 - 150,1,"36,190",3.8,25,
453,Blue,2 Ton,3 Star,1464.72,151 - 200,1,"42,740",4.2,11,
454,Voltas,1.5 Ton,5 Star,,1490,1,"41,900",4.5,,
455,Blue,2 Ton,5 Star,1087.24,151 - 200,1,"64,500",3.9,15,
456,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
457,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
458,Blue,1.5 Ton,3 Star,1012.44,111 - 150,1,"36,990",,,
459,Lloyd,1.5 Ton,3 Star,990.77,111 - 150,1,"40,990",3.5,121,15
460,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,815","2,508"
461,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
462,Hitachi,1.5 Ton,5 Star,780.6,111 - 150,2,"45,395",3.6,54,
463,Voltas,2 Ton,3 Star,1217.79,151 - 200,1,"53,879",3.8,,
464,Blue,1.5 Ton,5 Star,783.33,111 - 150,1,"44,990",4.8,,
465,Daikin,1.5 Ton,3 Star,966.47,111 - 150,1,"38,230",3.9,36,
466,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
467,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,815","2,508"
468,Blue,1 Ton,3 Star,706.99,90,,"33,390",4,"5,266",456
469,Lloyd,1.5 Ton,5 Star,794.34,111 - 150,1,"45,774",,,
470,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
471,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,815","2,508"
472,Voltas,2 Ton,3 Star,1122.45,151 - 200,1,"45,900",4,37,
473,Godrej,1.5 Ton,3 Star,1128.49,111 - 150,1,"37,300",4.4,39,
474,Godrej,1.5 Ton,,,111 - 150,,"32,099",,,
475,CARRIER,1 Ton,3 Star,,2550,,"33,660",,,
476,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
477,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
478,Godrej,1.5 Ton,3 Star,953.37,111 - 150,1,"39,980",,,
479,Hitachi,1.5 Ton,5 Star,1068.21,111 - 150,1,"38,449",3.4,43,
480,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
481,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
482,,2 Ton,3 Star,1274.33,151 - 200,2,"52,990",,,
483,Haier,1.5 Ton,3 Star,1020.54,111 - 150,1,"38,490",4,,
484,Gazhal,1 Ton,,,90,,"34,499",,,
485,Voltas,1.5 Ton,,,111 - 150,,"46,990",,,
486,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,462",262
487,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
488,Voltas,1.5 Ton,3 Star,1220.59,111 - 150,1,"37,600",,,
489,Hitachi,1.5 Ton,3 Star,1024.34,111 - 150,1,"40,800",,,
490,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
491,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
492,Blue,1.5 Ton,3 Star,1076.23,111 - 150,1,"41,500",4.4,15,
493,Panasonic,1.5 Ton,3 Star,1003.57,111 - 150,1,"37,350",,,
494,Blue,1.5 Ton,5 Star,783.33,111 - 150,1,"45,990",,,
495,Hitachi,1.8 Ton,3 Star,,1251,1,"43,999",3.9,63,
496,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
497,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
498,Hitachi,1 Ton,3 Star,,0,,"41,290",3.6,23,
499,Blue,1 Ton,2 Star,727.66,90,,"37,000",,,
500,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,462",262
501,Panasonic,1 Ton,5 Star,524.08,90,,"38,990",4.1,"24,837","2,508"
502,Hitachi,1.5 Ton,5 Star,897.84,111 - 150,1,"68,900",,,
503,Voltas,2 Ton,,,151 - 200,,"79,990",,,
504,Lloyd,1 Ton,5 Star,,90,,"36,999",,,
505,Hitachi,1.5 Ton,5 Star,813.13,111 - 150,1,"48,300",,,
506,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
507,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
508,Daikin,2.02 Ton,4 Star,1372.85,,,"62,990",3.5,21,
509,Blue,1.5 Ton,3 Star,1012.16,111 - 150,1,"36,490",3.3,,
510,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
511,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
512,Panasonic,1.5 Ton,5 Star,,1290,1,"43,200",,,
513,Lloyd,1.5 Ton,4 Star,972.33,111 - 150,1,"40,200",4.5,,
514,iMEE,1.5 Ton,5 Star,,1360,1,"39,999",,,
515,Panasonic,1 Ton,3 Star,656.44,90,,"34,999",,,
516,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
517,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
518,Godrej,1.5 Ton,,,111 - 150,,"36,790",,,
519,Lloyd,1.5 Ton,3 Star,,111 - 150,,"38,500",2.1,14,
520,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
521,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
522,Hitachi,1.5 Ton,3 Star,,0,1,"40,800",3.5,14,
523,iMEE,1.5 Ton,3 Star,,1835,1,"35,024",,,
524,Daikin,1 Ton,3 Star,,90,,"35,165",2.3,,
525,Hitachi,1.5 Ton,5 Star,,1540,1,"48,000",,,
526,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
527,Panasonic,1 Ton,5 Star,524.08,90,,"38,990",4.1,"24,837","2,508"
528,Hitachi,1.5 Ton,,,111 - 150,,"40,500",,,
529,Hitachi,1.5 Ton,3 Star,1024.34,111 - 150,1,"40,800",,,
530,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
531,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
532,Lloyd,1.5 Ton,3 Star,,1835,1,"36,990",3,,
533,SAMSUNG,1.5 Ton,5 Star,749.48,111 - 150,1,"64,990",,,
534,Panasonic,1.5 Ton,3 Star,1002.72,111 - 150,1,"35,490",4.1,"24,837","2,508"
535,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
536,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
537,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
538,LG,1.5 Ton,5 Star,685.26,111 - 150,1,"49,990",4.1,"40,617","3,635"
539,Lloyd,2 Ton,3 Star,1261.37,151 - 200,1,"47,990",4.2,593,83
540,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
541,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
542,SAMSUNG,1.5 Ton,5 Star,806.28,111 - 150,1,"58,990",4.3,352,36
543,Lloyd,1 Ton,3 Star,698.48,90,,"30,990",4.1,"11,020","1,437"
544,,1.5 Ton,5 Star,1453.77,111 - 150,1,"61,594",3.4,,
545,Frigidaire,1 Ton,3 Star,692.38,90,,"28,999",,,
546,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
547,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
548,Lloyd,1.5 Ton,5 Star,794.34,111 - 150,1,"45,774",,,
549,Daikin,1.5 Ton,,,111 - 150,,"60,299",,,
550,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
551,Panasonic,1 Ton,5 Star,524.08,90,,"38,990",4.1,"24,837","2,508"
552,CARRIER,1 Ton,3 Star,,1595,,"41,890",,,
553,CARRIER,1.5 Ton,3 Star,,1750,1,"43,599",,,
554,Haier,1.5 Ton,3 Star,1089.14,111 - 150,5,"62,990",,,
555,Voltas,1.5 Ton,3 Star,975.26,111 - 150,1,"37,600",1.5,,
556,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
557,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
558,,1 Ton,3 Star,655.74,90,,"32,999",1.7,,
559,LG,1.5 Ton,5 Star,744.99,111 - 150,1,"49,999",,,
560,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
561,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
562,Lloyd,1 Ton,2 Star,735.4,90,,"31,000",,,
563,,2 Ton,3 Star,1248.28,151 - 200,2,"48,990",1.7,,
564,,2 Ton,3 Star,1432.1,151 - 200,1,"66,500",,,
565,Hitachi,1 Ton,3 Star,669.16,90,,"36,300",,,
566,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
567,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
568,Panasonic,1.5 Ton,4 Star,885.4,111 - 150,1,"42,450",,,
569,Lloyd,1.5 Ton,3 Star,1043.12,111 - 150,1,"53,999",,,
570,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
571,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
572,,1.5 Ton,5 Star,706.85,111 - 150,2,"42,999",1.7,,
573,SAMSUNG,1 Ton,3 Star,624.48,90,,"60,990",4.3,,
574,LG,2 Ton,3 Star,1220.4,151 - 200,1,"58,300",,,
575,Blue,1.5 Ton,5 Star,783.33,111 - 150,1,"47,800",3.2,11,
576,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
577,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
578,SAMSUNG,1 Ton,3 Star,624.48,90,,"50,990",4.1,"3,097",245
579,Voltas,1 Ton,3 Star,682.59,90,,"32,989",4,"16,528",852
580,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
581,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
582,Daikin,1.5 Ton,5 Star,756.78,111 - 150,1,"71,200",4.3,390,56
583,Lloyd,1 Ton,3 Star,698.49,90,,"32,999",4.2,285,60
584,SAMSUNG,1.5 Ton,5 Star,749.48,111 - 150,1,"76,990",4.1,"2,440",206
585,LG,1.5 Ton,3 Star,852.44,111 - 150,1,"44,500",4.1,"40,617","3,635"
586,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
587,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
588,LG,1.5 Ton,5 Star,685.26,111 - 150,1,"50,400",4.3,"4,292",423
589,Voltas,1.5 Ton,4 Star,945.28,111 - 150,1,"53,591",4.2,"24,926","2,037"
590,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
591,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
592,Voltas,1.5 Ton,5 Star,893.02,111 - 150,1,"43,600",4.2,"24,926","2,037"
593,Daikin,1.5 Ton,5 Star,,1540,1,"45,490",4.1,73,
594,SAMSUNG,1.5 Ton,5 Star,863.15,111 - 150,1,"45,309",4.2,"24,223","2,361"
595,SAMSUNG,1.5 Ton,5 Star,806.28,111 - 150,1,"42,999",4.3,352,36
596,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
597,Panasonic,1 Ton,5 Star,524.08,90,,"38,990",4.1,"24,837","2,508"
598,CARRIER,1.5 Ton,5 Star,754.05,111 - 150,1,"39,999",4.3,390,49
599,CARRIER,1.5 Ton,4 Star,859.34,111 - 150,1,"64,890",4.2,"3,544",352
600,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
601,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
602,SAMSUNG,1.5 Ton,5 Star,863.15,111 - 150,1,"45,309",4.2,"24,223","2,361"
603,Panasonic,1 Ton,5 Star,531.41,90,,"42,990",4.2,374,43
604,CARRIER,1.5 Ton,4 Star,859.34,111 - 150,1,"64,890",4.2,"3,544",352
605,Lloyd,1 Ton,3 Star,698.49,90,,"44,999",4.2,285,60
606,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
607,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
608,Daikin,1.5 Ton,4 Star,966.47,111 - 150,1,"57,659",4.2,639,65
609,Daikin,1.5 Ton,3 Star,,1045,1,"42,500",4.3,464,44
610,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
611,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
612,Daikin,1.5 Ton,3 Star,881.05,111 - 150,1,"48,322",3.8,105,
613,Daikin,1.5 Ton,3 Star,,1752,1,"41,500",4.3,542,46
614,Panasonic,1.5 Ton,4 Star,885.4,111 - 150,1,"49,800",4.2,374,43
615,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"41,300",4.2,271,21
616,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
617,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
618,Voltas,1.5 Ton,3 Star,,1685,1,"37,200",4.3,129,15
619,IFB,1.5 Ton,5 Star,867.16,111 - 150,1,"57,640",4,23,
620,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
621,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
622,Voltas,1.5 Ton,3 Star,1052.15,111 - 150,1,"34,999",4,"16,528",852
623,Voltas,1.5 Ton,5 Star,892.9,111 - 150,1,"41,999",4.3,151,16
624,Daikin,1.5 Ton,4 Star,966.47,111 - 150,1,"38,900",4.2,32,
625,Blue,1.5 Ton,5 Star,,1400,1,"47,500",3.7,23,
626,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
627,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
628,CARRIER,1.5 Ton,4 Star,,1595,1,"68,490",3.3,,
629,Daikin,1.5 Ton,3 Star,989.31,111 - 150,1,"40,000",,,
630,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
631,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
632,CARRIER,1.5 Ton,3 Star,,1700,1,"65,000",,,
633,CARRIER,1.5 Ton,3 Star,1215.35,111 - 150,1,"51,990",,,
634,,2 Ton,5 Star,1168.9,151 - 200,1,"74,240",,,
635,Equator,0.75 Ton,,,90,,"43,550",3.1,,
636,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
637,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
638,Hitachi,1.5 Ton,3 Star,,1115,1,"41,800",3.9,27,
639,Hitachi,1 Ton,5 Star,537.82,90,,"54,600",4.7,,
640,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
641,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
642,Haier,1.5 Ton,3 Star,1045.04,111 - 150,1,"38,300",,,
643,CARRIER,1.5 Ton,3 Star,999.69,111 - 150,1,"40,800",3.9,25,
644,Voltas,1.5 Ton,3 Star,975.26,111 - 150,1,"37,600",1.5,,
645,Daikin,1.5 Ton,,,111 - 150,,"60,299",,,
646,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
647,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
648,Lloyd,1.5 Ton,3 Star,1043.12,111 - 150,1,"53,999",,,
649,Voltas,1 Ton,,,90,,"54,990",3.3,,
650,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
651,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
652,Daikin,1 Ton,4 Star,620.32,90,,"35,661",,,
653,Daikin,1.5 Ton,4 Star,930.42,111 - 150,1,"42,999",3.4,10,
654,SAMSUNG,1 Ton,3 Star,624.48,90,,"60,990",4.3,,
655,Daikin,1.5 Ton,4 Star,1134.28,111 - 150,1,"41,500",2.5,,
656,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
657,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
658,Daikin,1 Ton,4 Star,680.4,90,,"49,289",,,
659,SAMSUNG,2 Ton,3 Star,1145.22,151 - 200,1,"82,990",,,
660,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
661,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
662,LG,1 Ton,5 Star,521.2,90,,"78,000",,,
663,Blue,1.5 Ton,5 Star,774.88,111 - 150,1,"47,100",,,
664,CARRIER,1.5 Ton,3 Star,1045.04,111 - 150,1,"42,000",,,
665,Daikin,1.5 Ton,5 Star,,744,1,"51,516",4.2,49,
666,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
667,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
668,SAMSUNG,1.5 Ton,3 Star,977.8,111 - 150,1,"62,990",4.7,,
669,Haier,1.5 Ton,3 Star,925.24,111 - 150,1,"38,790",,,
670,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
671,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
672,Haier,1.5 Ton,3 Star,925.24,111 - 150,1,"43,000",,,
673,SAMSUNG,1.5 Ton,5 Star,749.48,111 - 150,1,"64,990",,,
674,SAMSUNG,1.5 Ton,3 Star,977.8,111 - 150,1,"69,990",,,
675,LG,1.5 Ton,5 Star,,520,1,"34,419",4.3,"4,292",423
